Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
,,,Esch,6,2,,,,,,,1,,,FALSE,FALSE
,,,WLi,36,,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,SW,Esch,5,1,1,,,,,,,1,,FALSE,FALSE
,,NO,Esch,8,1,1,,,,,,,,,FALSE,FALSE
8938,1,SW,Esch,4,1,1,,,,,,,1,,FALSE,FALSE
,,,Esch,4,1,1,,,,,,,,,FALSE,FALSE
,,,SWe,2,,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,1,,,,,,,,,FALSE,FALSE
,,NO,Esch,5,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,6,2,,,,,,,1,,,FALSE,FALSE
,,,Esch,9,2,,,,,,,1,,,FALSE,FALSE
,,,Esch,17,1,,,,,,,,,,FALSE,FALSE
,,,Esch,19,2,,,,,,,,,,FALSE,FALSE
,,,Esch,17,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,7,2,,,,,,,,,keine Blätter,FALSE,FALSE
8939,,,SAh,10,,,,,,,,,,,FALSE,FALSE
,,,Esch,3,1,1,,,,,,,,,FALSE,FALSE
,,MITTE,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,13,1,1,,,,,,,,,FALSE,FALSE
,,SW,Esch,10,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,26,1,,,,,,,,,,FALSE,FALSE
,,,RBu,22,,,,,,,,,,,FALSE,FALSE
,,,BAH,17,,,,,,,,,,,FALSE,FALSE
,,,Esch,7,2,,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,1,,,,,,,,,FALSE,FALSE
,,NO,Esch,7,1,1,,,,,,,,,FALSE,FALSE
8940,,,RBu,109,,,,,,,,,,,FALSE,FALSE
,,,WLi,40,,,,,,,,,,,FALSE,FALSE
,,,Esch,12,3,,,,,,,1,,,FALSE,FALSE
,,SW,Esch,10,2,,,,,,,T1,1,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,16,3,,,,,,,,,,FALSE,FALSE
,,,Esch,8,2,,,T1,,,,,,,FALSE,FALSE
,,NW,Esch,4,1,1,,,,,,,,,FALSE,FALSE
,,NO,Esch,8,1,1,,,,,,,1,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,,WLi,104,,,,,,,,,,,FALSE,FALSE
