Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,pfaffe,375,336,323,,,,,,,,,,,,
,,,pfaffe,158,138,128,,,,,,,,,,,,
,,,esche,89,81,73,,,,1,,,,,,,,
,west,,pfaffe,165,157,146,,,,,,,,,,,,
,,,pfaffe,97,71,65,,,,,,,,,,,,
59,nord,,esche,135,112,95,,,,1,,,,,,,,
,,,esche,91,80,73,,,,1,,,,,,,,
,,,esche,153,126,107,,,,1,,,,,,,,
,,,esche,100,90,84,,,,1,,,,,,,,
,,,esche,98,81,59,,,,1,,,,,,,,
,,,esche,70,62,,,,,1,,,,,,,,
,,,esche,100,93,89,119,110,102,1,,,,,,,,
,,,esche,238,173,130,,,,3,,,t1,,,1,,
,,,esche,145,132,116,,,,1,,,,,,,,
,,,hbu,122,110,95,,,,,,,,,,,,
,,,esche,149,134,119,,,,1,,,,,,,,
,,,esche,84,68,57,,,,1,,,,,,,,
,,,hbu,185,181,75,330,312,303,,,,,,,,,
,,,esche,2525,214,203,,,,3,,,,,,1,,
,west,,bah,990,833,762,,,,,,,,,,,,
,,,linde,853,750,642,,,,,,,,,,,,
,,,linde,585,578,575,,,,,,,,,,,,
,,,esche,125,110,100,,,,1,,,,,,,,
,,,esche,87,55,,,,,1,,,,,,,,
,,,hbu,74,65,58,,,,,,,,,,,,
,,,esche,80,70,61,,,,1,,,,,,,,
,,,esche,50,1,1,,,,1,,,,,,,unter totholz begraben,
,,,esche,40,1,1,,,,1,,,,,,,unter totholz begraben,
,,,rbu,232,168,145,,,,,,,,,,,,
,,,esche,99,76,53,160,110,100,1,,,,,,,,
,,,esche,20,13,,85,70,,1,,,,,,,,
,,,esche,24,19,,75,60,,2,,,,,,1,,
,,,esche,70,55,45,,,,1,,,,,,,,
,süd,,hbu,1225,964,865,,,,,,,,,,,,
,,,esche,153,136,116,,,,1,,,,,,,,
,,,esche,96,78,66,,,,1,,,,,,,,
,,,esche,47,25,20,,,,2,,,,,,1,,
,,,esche,175,168,155,,,,1,,,t1,,,,,
,,,esche,105,96,84,,,,1,,,,,,,,
,,,esche,360,333,309,,,,4,,,,,1,,,
,,,esche,112,63,,,,,1,,,,,,,,
,,,esche,95,78,67,,,,1,,,,,,,,
,,,hbu,56,48,,,,,,,,,,,,,
,,,esche,314,280,230,,,,2,,,,,,,,
,ost,,esche,155,140,120,,,,3,,,,,,,,
,,,esche,132,117,105,,,,1,,,,,,,,
,,,esche,90,78,70,,,,1,,,,,,,,
,,,esche,150,130,120,,,,2,,,,,,1,,
60,nord,,hbu,780,563,440,,,,,,,,,,,,
,,,esche,172,102,58,,,,1,,,,,,,,
,,,esche,157,77,35,,,,2,,,,,,1,,
,,,esche,150,105,83,,,,2,,,,,,,,
,,,esche,87,65,53,,,,1,,,,,,,,
,,,hbu,229,108,,,,,,,,,,,,,
,,,esche,82,58,52,,,,2,,,,,,1,,
,,,esche,102,79,65,,,,2,,,,,,,,
,,,esche,77,,,,,,1,,,,,,,,
,west,,ulmus glabra,420,386,371,,,,,,,,,,,,
,,,esche,100,91,60,,,,2,,,,,,,,
,,,esche,60,48,30,,,,1,,,,,,,,
,süd,,esche,175,120,66,,,,1,,,,,,,,
,,,esche,140,88,,,,,1,,,,,,,,
,,,esche,115,78,,,,,1,,,,,,,,
,,,esche,92,31,,,,,2,,,,,,,,
,,,esche,119,71,25,,,,2,,,,,,1,,
,,,esche,65,56,48,,,,1,,,,,,,,
,ost,,ulmus glabra,215,140,93,,,,,,,,,,,,
,,,esche,296,213,160,,,,2,,,,,,,,
,,,ulmus glabra,383,202,178,,,,,,,,,,,,
,,,ulmus glabra,426,368,351,,,,,,,,,,,,
