Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
6,S,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,Keine Bäume,
,,,Pfaffe,105,98,94,152,145,141,,,,,,,,,
,,,HBu,109,103,93,,,,,,,,,,,,
,,,Pfaffe,157,78,35,296,190,92,,,,,,,,,
,,,Esche,80,65,,90,68,,1,,,,,,,,
,,,Esche,184,152,84,189,154,87,4,,,,,,1,,
,,,Pfaffe,102,91,64,108,96,64,,,,,,,,,
,,,Esche,78,66,46,120,107,88,1,,,,,,,,
,,,Esche,116,96,92,131,113,96,,,,,,,,,
,,,Pfaffe,139,134,114,254,250,225,,,,,,,,,
,N,,Esche,104,68,55,119,82,63,1,,,,,,,,
,,,Pfaffe,128,111,54,316,296,218,,,,,,,,,
,,,Esche,118,85,54,,,,2,,,,,1,,,
,,,Pfaffe,140,133,81,,,,,,,,,,,,
,,,Esche,79,73,60,,,,1,,,,,,,,
,,,Esche,149,119,89,,,,1,,,,,,,,
,,,Esche,122,117,91,135,116,100,1,,,,,,,,
,,,Esche,85,74,60,225,212,184,3,,,,,1,1,,
,,,Pfaffe,212,173,93,320,270,164,,,,,,,,,
,,,Pfaffe,130,97,44,204,166,106,,,,,,,,,
,,,Esche,92,75,,,,,1,,,,,,,,
,,,Pfaffe,186,92,73,327,224,193,,,,,,,,,
,,,Esche,123,106,92,129,113,98,1,,,,,,,,
,,,Pfaffe,330,252,182,369,277,207,,,,,,,,,
,,,Pfaffe,110,48,1,120,57,1,,,,,,,,,
,,,HBu,508,478,477,555,509,501,,,,,,,,,
66,N,,Esche,176,153,113,,,,1,,,,,,,,
,,,Esche,104,88,74,109,91,76,1,,,,,,,,
,,,Esche,85,76,56,147,128,98,1,,,,,,,,
,W,,Esche,122,95,72,123,96,73,1,,,,,,,,
,,,HBu,218,216,207,230,224,211,,,,,,,,,
,,,Esche,144,133,122,,,,1,,,,,,,,
,,,Esche,114,90,75,,,,1,,,,,,,,
,,,Pfaffe,72,25,1,240,182,146,,,,,,,,,
,S,,Esche,135,118,112,147,129,123,2,,,,,,,,
,,,Esche,104,84,69,117,96,79,1,,,,,,,,
,,,Esche,97,88,84,,,,3,,,,,,2,Einer der abgestorbenen hat Krebs,
,,,Esche,120,118,101,157,153,113,1,,,,,,,,
,,,Esche,85,73,45,,,,1,,,,,,,,
,,,FAh,105,97,80,,,,,,,,,,,,
,O,,HBu,74,65,,,,,,,,,,,,,
,,,Esche,99,94,71,106,100,78,1,,,,,,,,
,,,Esche,88,62,,118,83,,1,,,,,,,,
,,,Esche,116,104,101,133,127,118,1,,,,,,,,
