"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal"
"110",NA,TRUE,"MITTE","GEs",9,2,FALSE,NA,NA,NA,NA,1,NA,2,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"111",8937,TRUE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"112",NA,TRUE,"SW","GEs",5,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"113",NA,TRUE,"NO","GEs",8,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114",8938,TRUE,"SW","GEs",4,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"115",NA,TRUE,"NO","GEs",5,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"116",NA,TRUE,"NW","GEs",7,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"keine Blätter",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"117",8939,FALSE,"MITTE","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118",NA,FALSE,"SW","GEs",10,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"119",NA,FALSE,"NO","GEs",7,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"120",8940,FALSE,"SW","GEs",10,2,FALSE,NA,NA,NA,NA,NA,1,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"121",NA,FALSE,"NW","GEs",4,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"122",NA,FALSE,"NO","GEs",8,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"123",8941,FALSE,"NW","GEs",8,3,FALSE,NA,NA,2,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"124",NA,FALSE,"NO","GEs",7,1,TRUE,NA,NA,NA,NA,NA,NA,4,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"125",NA,FALSE,"SO","GEs",10,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
