"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"175",8758,38,3,20,17,"goe_ans",12.58,10.5,25,5,0,0,0,0,"",FALSE
"176",8759,41,3,37,2,"goe_ans",26.34,7,800,5,0,0,0,0,"",FALSE
"177",8760,45,4,40,2,"goe_ans",8.02,8,18,4,0,0,0,1,"",FALSE
"178",8761,20,2,16,4,"goe_ans",8.65,8,17,5,0,0,0,0,"",FALSE
"179",8762,49,2,37,12,"goe_ans",8.12,7,15,3,2,0,2,1,"",FALSE
"180",8763,18,1,18,0,"goe_ans",10.28,9,18,4,0,1,1,1,"",FALSE
"181",8764,24,3,22,1,"goe_ans",8.42,8,16,3,1,0,1,1,"Baum 316 liegt auf dem Westrand, alte Daten könnten korrekt sein, mssen sie aber nicht, ets nicht zu sehen",FALSE
"182",8765,26,2,23,3,"goe_ans",9.73,9,21,2,0,0,0,0,"",FALSE
"183",8766,47,4,40,5,"goe_ans",9.19,8,18,4,0,0,0,2,"",FALSE
"184",8767,57,4,41,14,"goe_ans",8.81,9,14,5,0,0,0,0,"",FALSE
"185",8768,1,1,0,1,"goe_ans",7,7,7,7,0,0,0,0,"",FALSE
"186",8769,23,2,11,12,"goe_ans",8.83,9,12,6,0,0,0,0,"",FALSE
"187",8770,47,4,31,13,"goe_ans",8.79,9,13,5,0,0,0,0,"",FALSE
"188",8771,18,6,10,4,"goe_ans",59.78,10.5,900,5,0,0,0,0,"",FALSE
"189",8772,20,2,14,6,"goe_ans",9.25,9,15,2,0,0,0,1,"",FALSE
"190",8773,33,3,22,10,"goe_ans",11.52,11,40,4,0,0,0,2,"",FALSE
"191",8774,34,2,22,12,"goe_ans",9.65,9,15,6,0,1,1,0,"",FALSE
"192",8775,14,2,8,6,"goe_ans",9.86,9.5,15,6,0,0,0,0,"",FALSE
"193",8776,10,3,8,1,"goe_ans",5.7,5,8,4,0,0,0,0,"270 in nord hälfte",FALSE
"194",8777,73,3,70,2,"goe_ans",9.34,9,16,4,2,1,3,2,"",FALSE
"195",8778,38,3,32,5,"goe_ans",8.47,8,14,5,0,0,0,1,"",FALSE
"196",8779,30,5,15,11,"goe_ans",12.27,9,53,6,0,0,0,1,"",FALSE
"197",8780,16,3,12,3,"goe_ans",12.31,10.5,27,6,0,0,0,0,"",TRUE
"198",8781,30,3,21,7,"goe_ans",12.93,12,34,5,2,3,5,3,"",FALSE
"199",8782,24,3,22,1,"goe_ans",14.54,14.5,24,7,0,1,1,4,"keine richtige Rückegasse aber einmal drüber gefahren",FALSE
