"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Zaun","Ausschluss","Rueckegasse"
"176",8759,35,3,31,2,"goe_ans",31.83,6,900,4,0,0,0,0,"",FALSE,FALSE,FALSE
"177",8760,43,3,40,0,"goe_ans",6.72,6,14,3,0,0,0,2,"",FALSE,FALSE,FALSE
"178",8761,16,2,14,2,"goe_ans",6.75,7,10,4,0,0,0,0,"",FALSE,FALSE,FALSE
"179",8762,53,3,36,15,"goe_ans",6.81,6,14,3,4,1,5,8,"",FALSE,FALSE,TRUE
"180",8763,17,1,17,0,"goe_ans",8.24,8,15,4,0,1,1,0,"",FALSE,FALSE,FALSE
"181",8764,23,3,21,1,"goe_ans",7.04,7,16,2,1,0,1,0,"",FALSE,FALSE,FALSE
"182",8765,26,2,21,5,"goe_ans",8.62,8,17,6,0,0,0,1,"",FALSE,FALSE,FALSE
"183",8766,51,4,36,12,"goe_ans",7.14,7,16,3,1,0,1,2,"",FALSE,FALSE,FALSE
"184",8767,54,5,32,18,"goe_ans",8.22,8,14,5,0,0,0,1,"",FALSE,FALSE,FALSE
"185",8768,0,0,0,0,"goe_ans",NA,NA,NA,NA,0,0,0,0,"keine Bäume",FALSE,FALSE,FALSE
"186",8769,29,3,8,20,"goe_ans",7.9,8,13,5,0,0,0,0,"",FALSE,FALSE,FALSE
"187",8770,47,4,28,17,"goe_ans",7.72,7,13,4,0,0,0,1,"",FALSE,FALSE,FALSE
"188",8771,15,4,8,5,"goe_ans",9.8,9,14,4,0,0,0,1,"",FALSE,FALSE,FALSE
"189",8772,27,3,12,14,"goe_ans",8.19,8,14,4,2,0,2,1,"",FALSE,FALSE,FALSE
"190",8773,32,3,21,10,"goe_ans",10.09,9,32,4,0,1,1,6,"",FALSE,FALSE,FALSE
"191",8774,37,3,23,13,"goe_ans",8.54,9,14,4,2,0,2,2,"",FALSE,FALSE,FALSE
"192",8775,11,2,6,5,"goe_ans",8.73,9,11,6,0,0,0,0,"",FALSE,FALSE,FALSE
"193",8776,2,1,2,0,"goe_ans",5,5,6,4,0,0,0,0,"",FALSE,FALSE,FALSE
"194",8777,82,3,76,5,"goe_ans",9.1,9,15,2,7,1,8,1,"",FALSE,FALSE,FALSE
"195",8778,38,3,29,8,"goe_ans",8.37,8.5,14,4,0,0,0,2,"",FALSE,FALSE,FALSE
"196",8779,27,5,15,8,"goe_ans",8.7,6,25,4,0,0,0,1,"",FALSE,FALSE,TRUE
"197",8780,0,0,0,0,"goe_ans",NA,NA,NA,NA,0,0,0,0,"keine Bäume",FALSE,FALSE,TRUE
"198",8781,31,4,24,4,"goe_ans",10.39,9,25,4,4,1,5,3,"",FALSE,FALSE,FALSE
"199",8782,19,2,18,1,"goe_ans",10.89,10,20,6,3,0,3,3,"",FALSE,FALSE,FALSE
"200",8783,35,2,32,3,"goe_ans",8.57,8,14,4,1,0,1,10,"angekrazt",FALSE,FALSE,FALSE
