"","location","Plotnummer","n_trees","ash_ratio","n_ash"
"449","Lau_Steinhorst",277,31,0.903225806451613,28
"450","Goe_Polter",8954,53,0.905660377358491,48
"451","Goe_Polter",8991,32,0.90625,29
"452","Goe_Polter",8938,11,0.909090909090909,10
"453","Goe_Polter",8955,44,0.909090909090909,40
"454","Goe_Polter",8984,11,0.909090909090909,10
"455","Goe_Ansitz",8764,23,0.91304347826087,21
"456","Goe_Polter",8928,23,0.91304347826087,21
"457","Goe_Ansitz",8783,35,0.914285714285714,32
"458","Goe_Ansitz",8716,12,0.916666666666667,11
"459","Lau_Steinhorst",235,51,0.92156862745098,47
"460","Lau_Steinhorst",256,13,0.923076923076923,12
"461","Goe_Polter",8975,13,0.923076923076923,12
"462","Goe_Ansitz",8777,82,0.926829268292683,76
"463","Goe_Ansitz",8703,56,0.928571428571429,52
"464","Goe_Ansitz",8741,14,0.928571428571429,13
"465","Goe_Polter",8924,14,0.928571428571429,13
"466","Goe_Polter",8965,14,0.928571428571429,13
"467","Goe_Ansitz",8760,43,0.930232558139535,40
"468","Goe_Polter",8923,15,0.933333333333333,14
"469","Lau_Steinhorst",229,32,0.9375,30
"470","Lau_Steinhorst",257,17,0.941176470588235,16
"471","Lau_Steinhorst",210,36,0.944444444444444,34
"472","Goe_Polter",8943,18,0.944444444444444,17
"473","Goe_Polter",8951,18,0.944444444444444,17
"474","Goe_Ansitz",8782,19,0.947368421052632,18
"475","Goe_Ansitz",8802,38,0.947368421052632,36
"476","Goe_Polter",9007,42,0.952380952380952,40
"477","Lau_Steinhorst",184,23,0.956521739130435,22
"478","Goe_Polter",8967,24,0.958333333333333,23
"479","Goe_Polter",8982,26,0.961538461538462,25
"480","Lau_Steinhorst",236,92,0.967391304347826,89
"481","Goe_Ansitz",8748,34,0.970588235294118,33
"482","Lau_Steinhorst",228,39,0.974358974358974,38
"483","Lau_Steinhorst",7,6,1,6
"484","Lau_Steinhorst",14,3,1,3
"485","Lau_Steinhorst",16,1,1,1
"486","Lau_Steinhorst",33,1,1,1
"487","Lau_Steinhorst",44,2,1,2
"488","Lau_Steinhorst",89,11,1,11
"489","Lau_Steinhorst",177,14,1,14
"490","Lau_Steinhorst",205,1,1,1
"491","Lau_Steinhorst",206,3,1,3
"492","Lau_Steinhorst",234,25,1,25
"493","Lau_Steinhorst",258,10,1,10
"494","Lau_Steinhorst",301,1,1,1
"495","Goe_Ansitz",8731,1,1,1
"496","Goe_Ansitz",8749,6,1,6
"497","Goe_Ansitz",8763,17,1,17
"498","Goe_Ansitz",8776,2,1,2
"499","Goe_Ansitz",8797,2,1,2
"500","Goe_Ansitz",8800,17,1,17
"501","Goe_Ansitz",8812,18,1,18
"502","Goe_Polter",8908,3,1,3
"503","Goe_Polter",8909,4,1,4
"504","Goe_Polter",8910,16,1,16
"505","Goe_Polter",8911,6,1,6
"506","Goe_Polter",8913,5,1,5
"507","Goe_Polter",8917,16,1,16
"508","Goe_Polter",8926,1,1,1
"509","Goe_Polter",8933,5,1,5
"510","Goe_Polter",8959,14,1,14
"511","Goe_Polter",8968,4,1,4
"512","Goe_Polter",8970,18,1,18
"513","Goe_Polter",8972,29,1,29
"514","Goe_Polter",8988,18,1,18
"515","Goe_Polter",8989,19,1,19
"516","Goe_Polter",9009,9,1,9
"517","Lau_Steinhorst",61,0,NA,0
"518","Lau_Steinhorst",65,0,NA,0
"519","Lau_Steinhorst",127,0,NA,0
"520","Lau_Steinhorst",156,0,NA,0
"521","Lau_Steinhorst",167,0,NA,0
"522","Lau_Steinhorst",168,0,NA,0
"523","Lau_Steinhorst",169,0,NA,0
"524","Lau_Steinhorst",231,0,NA,0
"525","Lau_Steinhorst",281,0,NA,0
"526","Goe_Ansitz",8768,0,NA,0
"527","Goe_Ansitz",8780,0,NA,0
"528",NA,8816,NA,NA,NA
"529",NA,8817,NA,NA,NA
"530","Goe_Polter",8912,0,NA,0
"531","Goe_Polter",8915,0,NA,0
