"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
40,Cherry,40,0,,F,,0,40,Rotbuche,,F,,,0,,,,,33400000,5992052.339,Bu,49.8579,48.5,
41,Elm,41,0,,F,,0,41,Hainbuche,,F,,,0,,,,,33400000,5992048.684,Hbu,48.7955,45.5,
42,Elm,42,0,,F,,0,42,Hainbuche,,F,,,0,,,,,33400000,5992050.056,Hbu,48.7157,38,
43,Elm,43,0,,F,,0,43,Hainbuche,,F,,,0,,,,,33400000,5992048.056,Hbu,46.6507,36,
44,Cherry,44,0,,F,,0,44,Rotbuche,,F,,,0,,,,,33400000,5992037.425,Bu,50.4821,76.5,
45,Elm,45,0,,F,,0,45,Hainbuche,,F,,,0,,,,,33400000,5992047.524,Hbu,39.3265,27,
46,Elm,46,0,,F,,0,46,Hainbuche,,F,,,0,,,,,33400000,5992052.332,Hbu,49.4314,32,
47,Oak,47,0,,F,,0,47,Gem. Esche,,F,,,178.6,,,,,33400000,5992058.093,Es,50.2813,57.4,
48,Elm,48,0,,F,,0,48,Hainbuche,,F,,,0,,,,,33400000,5992058.991,Hbu,51.4083,36,
49,Oak,49,0,,F,,0,49,Gem. Esche,,F,,,149,,,,,33400000,5992054.209,Es,48.5205,47.9,geworfen Jan. 2022
50,Cherry,50,0,,F,,0,50,Rotbuche,,F,,,0,,,,,33400000,5992059.366,Bu,45.1869,37.5,
51,Cherry,51,0,,F,,0,51,Rotbuche,,F,,,0,,,,,33400000,5992064.003,Bu,49.7232,40,
52,Cherry,52,0,,F,,0,52,Rotbuche,,F,,,0,,,,,33400000,5992066.36,Bu,49.1799,30,
53,Birch,53,0,,F,,0,53,EIche,,F,,,0,,,,,33400000,5992071.597,Ei,49.8578,65,
54,Cherry,54,0,,F,,0,54,Rotbuche,,F,,,0,,,,,33400000,5992070.859,Bu,44.7345,33,
55,Birch,55,0,,F,,0,55,EIche,,F,,,0,,,,,33400000,5992074.79,Ei,49.9509,50,
56,Cherry,56,0,,F,,0,56,126,29,10,9,8,0,238,,,,33400000,5992073.837,126,53.6204,32.5,
57,Cherry,57,0,,F,,0,57,Rotbuche,,F,,,0,,,,,33400000,5992079.145,Bu,52.2509,27,
58,Birch,58,0,,F,,0,58,EIche,,F,,,0,,,,,33400000,5992082.265,Ei,48.9705,45,
59,Cherry,59,0,,F,,0,59,Rotbuche,,F,,,0,,,,,33400000,5992084.103,Bu,49.7968,27.5,
60,Oak,60,0,,F,,0,60,Gem. Esche,,F,,,242.5,,,,,33400000,5992083.478,Es,53.6902,77.9,
61,Cherry,61,0,,F,,0,61,Rotbuche,,F,,,0,,,,,33400000,5992082.592,Bu,53.1588,39,
62,Cherry,62,0,,F,,0,62,Rotbuche,,F,,,0,,,,,33400000,5992078.997,Bu,51.7032,25,
