Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,bah,98,95,86,109,106,95,,,,,,,,,
,,,rbu,159,152,138,213,180,152,,,,,,,,,
,no,,bah,120,117,111,,,,,,,,,,,,
,,,bah,170,163,151,,,,,,,,,,,,
,,,bah,126,121,110,,,,,,,,,,,,
,,,sah,111,107,102,124,120,115,,,,,,,,,
,,,bah,43,40,39,159,157,119,,,,,,,,,
,so,,sah,86,81,79,,,,,,,,,,,,
,,,sah,67,64,62,84,82,78,,,,,,,,,
,,,sah,104,100,93,,,,,,,,,,,,
,,,esch,64,60,54,,,,1,,,,,,,,
,,,esch,63,60,,68,65,,1,,,,,,,,
,,,bah,94,86,70,106,96,80,,,,,,,,,
,sw,,sah,81,79,76,101,99,95,,,,,,,,,
,,,bah,68,58,43,,,,,,,,,,,,
,,,bah,118,114,101,,,,,,,,,,,,
,,,bah,114,105,89,,,,,,,,,,,,
,,,sah,72,70,69,,,,,,,,,,,,
53,nw,,sah,72,69,65,95,89,82,,,,,,,,,
,,,sah,77,68,80,66,61,57,,,,,,,,,
,,,esch,39,,,,,,1,,,,,,,,
,,,sah,111,106,103,,,,,,,,,,,,
,,,sah,126,115,110,,,,,,,,,,,,
,,,sah,135,124,120,,,,,,,,,,,,
,,,esch,42,40,32,64,58,52,1,,,,,,,,
,,,esch,50,44,40,,,,1,,,,,,,,
,sw,,sah,85,76,70,115,106,98,,,,,,,,,
,,,sah,103,99,95,135,130,128,,,,,,,,,
,,,sah,70,51,,,,,,,,,,,,,
,,,sah,124,111,105,,,,,,,,,,,,
,no,,sah,85,82,78,93,89,84,,,,,,,,,
,,,sah,181,170,165,,,,,,,,,,,,
,,,sah,112,103,96,,,,,,,,,,,,
,,,sah,86,69,54,116,101,89,,,,,,,,,
,,,esch,55,,,66,,,1,,,,,,,,
,so,,sah,103,99,95,,,,,,,,,,,,
,,,sah,109,102,98,121,115,111,,,,,,,,,
,,,sah,61,54,42,85,80,66,,,,,,,,,
,,,esch,111,108,107,,,,1,,,,,,,,
,,,esch,59,78,,,,,1,,,,,,,,
,,,esch,38,,,,,,1,,,t1,,,,tote höhe 62,
,,,sah,100,98,94,119,114,109,,,,,,,,,
54,nw,,esch,65,56,,,,,1,,,,,,,,
,,,esch,45,40,,,,,1,,,,,,,,
,,,bah,109,100,90,110,102,93,,,,,,,,,
,,,bah,94,81,65,132,121,102,,,,,,,,,
,,,bah,96,89,83,,,,,,,,,,,,
,,,bah,129,122,112,136,126,119,,,,,,,,,
,,,esch,54,47,,,,,1,,,,,,,,
,,,bah,80,69,64,,,,,,,,,,,,
,,,esch,64,54,,,,,1,,,,,,,,
,,,sah,168,154,139,,,,,,,,,,,,
,,,esch,68,61,,,,,1,,,,,,,,
,no,,esch,55,,,,,,1,,,,,,,,
,,,esch,67,56,,,,,1,,,,,,,,
,,,esch,61,52,,,,,1,,,,,,,,
,,,sah,93,87,82,121,118,110,,,,,,,,,
,,,bah,79,62,50,,,,,,,,,,,,
,,,esch,69,65,,,,,1,,,,,,,,
,,,sah,64,55,53,,,,,,,,,,,,
,,,bah,105,95,89,114,106,99,,,,,,,,,
,,,sah,75,66,,90,81,,,,,,,,,,
,,,esch,64,55,,69,59,,1,,,,,,,,
,,,sah,85,76,71,90,81,77,,,,,,,,,
,,,sah,102,95,91,126,120,116,,,,,,,,,
,sw,,sah,96,88,81,112,105,99,,,,,,,,,
,,,esch,96,87,83,125,121,115,1,,,,,,,,
,,,esch,50,41,,82,70,,1,,,,,,,,
,,,esch,85,78,65,103,97,84,1,,,,,,,,
,,,esch,65,60,,,,,1,,,,,,,,
,,,esch,60,,,,,,1,,,,,,,,
,,,sah,84,78,75,102,98,93,,,,,,,,,
,,,sah,115,102,95,128,117,110,,,,,,,,,
,,,sah,119,114,108,119,112,108,,,,,,,,,
,,,sah,116,107,95,,,,,,,,,,,,
,,,vogelbeere,102,90,76,,,,,,,,,,,,
,,,esch,61,,,90,,,1,,,,,,,,
,,,esch,57,45,,65,49,,1,,,,,,,,
,,,sah,105,101,97,157,153,148,,,,,,,,,
,so,,sah,109,101,90,125,119,113,,,,,,,,,
,,,sah,87,80,72,99,90,79,,,,,,,,,
,,,sah,116,107,100,121,114,106,,,,,,,,,
,,,sah,165,154,135,177,165,144,,,,,,,,,
,,,esch,75,68,,,,,1,,,,,,,,
,,,esch,85,70,,,,,1,,,,,,,,
,,,esch,110,105,92,126,120,95,1,,,,,,,,
,,,esch,66,45,,75,67,,1,,,,,,,,
,,,esch,106,98,95,115,110,106,1,,,,,,,,
,,,sah,110,100,92,125,114,105,,,,,,,,,
55,nw,,sah,80,73,70,,,,,,,,,,,,
,,,esch,78,58,50,80,75,68,1,,,,,,,,
,,,esch,64,53,40,95,80,65,1,,,,,,,,
,,,esch,58,45,,,,,1,,,,,,,,
,,,esch,80,74,56,87,78,59,1,,,,,,,,
,,,esch,55,44,,,,,1,,,,,,,,
,,,esch,57,48,,,,,1,,,,,,,,
,,,sah,116,107,99,,,,,,,,,,,,
,,,esch,78,73,69,,,,1,,,,,,,,
,,,bah,112,103,95,,,,,,,,,,,,
,,,bah,60,51,43,63,53,44,,,,,,,,,
,,,esch,65,60,51,,,,1,,,,,,,,
