Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,BAh,205,156,72,,,,,,,,,,,,
,,,BAh,174,128,71,190,142,84,,,,,,,,,
,,,BAh,165,129,115,175,135,124,,,,,,,,,
,,,BAh,127,114,49,185,169,100,,,,,,,,,
,,,BAh,152,100,67,251,158,81,,,,,,,,,
,,,BAh,168,123,100,203,155,128,,,,,,,,,
,,,Esche,134,77,42,150,89,60,,,,,,,,,
,NO,,BAh,178,129,,,194,140,,,,,,,,,
,,,BAh,261,211,150,,,,,,,,,,,,
,,,BAh,305,220,172,,,,,,,,,,,,
,,,BAh,184,163,139,,,,,,,,,,,,
,,,BAh,123,95,,,133,99,,,,,,,,,
,,,Esche,185,116,77,305,227,150,1,,,,,,,,
,,,Esche,115,102,78,141,117,78,1,,,,,,,,
,,,Esche,107,76,56,134,100,75,1,,,,,,,,
,,,Esche,119,94,68,,,,1,,,,,,,,
,,,Esche,103,95,75,,,,2,,,,,,,,
,,,Esche,106,92,77,121,107,90,1,,,,,,,,
,,,Esche,98,77,47,107,87,56,1,,,,,,,,
35,SW,,BAh,499,424,354,505,430,357,,,,,,,,,
,,,BAh,169,150,113,188,168,120,,,,,,,,,
,,,BAh,196,175,156,,,,,,,,,,,,
,,,BAh,132,106,81,213,188,164,,,,,,,,,
,SO,,BAh,588,402,299,,,,,,,,,,,,
,,,BAh,245,212,171,,,,,,,,,,,,
,,,BAh,184,163,136,197,174,146,,,,,,,,,
,,,BAh,167,152,117,,,,,,,,,,,,
,,,BAh,214,186,145,,,,,,,,,,,,
,,,Esche,105,85,45,135,92,53,1,,,,,,,,
,,,Esche,122,77,49,148,102,66,1,,,,,,,,
,,,Esche,464,361,270,480,398,294,4,,,,,,1,mit Krebswucherung an abgestorbenen Ast,
,NO,,BAh,340,289,218,,,,,,,,,,,,
,,,Esche,138,119,87,,,,1,,,,,,T1,"Oberer Teil des Triebes ""abgefault"", Knospe fehlt. Auch sehr weich wie ausgehöhlt.",
,,,Esche,127,98,72,130,101,75,1,,,,,,,,
,NW,,Esche,113,78,40,,,,1,,,,,,,,
,,,Esche,132,101,51,136,101,51,1,,,,,,,,
,,,Esche,165,140,80,229,138,81,1,,,,,,,,
,,,Esche,128,93,50,139,93,52,1,,,,,,,,
51,NW,, ,,,,,,,,,,,,,,"Keine Bäume, Plot komplett von dickem Baumstamm begraben. Vorhandene Verjüngung darunter abgestorben. Umgestürzter Baum ist vermutlich 16x, Riss hat letzte Ziffer ganz und mittlerehalb zerstört.",
,NO,, ,,,,,,,,,,,,,,Keine Bäume,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
,SO,, ,,,,,,,,,,,,,,Keine Bäume,
50,SO,,BAh,582,436,410,,,,,,,,,,,,
