OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
290,269,269,Alnus glutinosa,0,,0,,,430131.51,5893426.21,370,37,,100,1,Er
291,270,270,Alnus glutinosa,0,,0,,,430137.17,5893433.79,460,46,,100,1,Er
292,271,271,Alnus glutinosa,0,,0,,,430139.58,5893435.83,450,45,,100,1,Er
293,272,272,Ulmus spec.,0,,0,,,430141.56,5893440.93,240,24,,100,2,Ul
294,273,273,Alnus glutinosa,0,,0,,,430136.93,5893439.2,450,45,,100,1,Er
295,274,274,Alnus glutinosa,0,,0,,,430134.05,5893437.74,430,43,,100,1,Er
296,275,275,Alnus glutinosa,0,,0,,,430130.07,5893442.52,390,39,,100,1,Er
297,276,276,Alnus glutinosa,0,,0,,,430133.61,5893447.46,470,47,,100,1,Er
298,277,277,Alnus glutinosa,0,,0,,,430137.04,5893444.56,430,43,,100,1,Er
299,278,278,Alnus glutinosa,0,,0,,,430139.52,5893445.1,630,63,,100,1,Er
300,279,279,Alnus glutinosa,0,,0,,,430141.76,5893445.73,520,52,,100,1,Er
301,280,280,Alnus glutinosa,0,,0,,,430135.38,5893451.14,540,54,,100,1,Er
302,281,281,Alnus glutinosa,0,,0,,,430137.16,5893453,450,45,,100,1,Er
303,282,282,Alnus glutinosa,0,,0,,,430140.66,5893453.72,420,42,,100,1,Er
304,283,283,Alnus glutinosa,0,,0,,,430136.57,5893457.84,520,52,,100,1,Er
305,284,284,Alnus glutinosa,0,,0,,,430132.5,5893458.69,490,49,,100,1,Er
306,285,285,Alnus glutinosa,0,,0,,,430131.79,5893460.53,400,40,,100,1,Er
307,286,286,Alnus glutinosa,0,,0,,,430126.92,5893463.67,460,46,,100,1,Er
308,287,287,Alnus glutinosa,0,,0,,,430128.08,5893467.67,510,51,,100,1,Er
309,1070,70,Fagus sylvatica,0,,0,,,430182.24,5893500.77,350,35,,100,1,Bu
310,1087,87,Betula pendula,0,,0,,,430180.92,5893492.53,510,51,,100,1,Bi
311,1091,91,Fagus sylvatica,0,,0,,,430183.66,5893478.66,350,35,,100,1,Bu
312,1092,92,Fagus sylvatica,0,,0,,,430183.01,5893477.52,290,29,,100,2,Bu
313,1102,102,Tilia platyphyllus,0,,0,,,430162.25,5893469.9,460,46,,100,1,Li
314,1105,105,Fagus sylvatica,0,,0,,,430185.88,5893456.46,270,27,,100,1,Bu
315,1106,106,Quercus robur,0,,0,,,430186.12,5893441.14,850,85,,100,1,Ei
316,1107,107,Tilia cordata,0,,0,,,430179.31,5893457.72,360,36,,100,1,Li
317,1108,108,Ulmus spec.,0,,0,,,430174.24,5893448.7,170,17,,100,2,Ul
318,1109,109,Quercus robur,0,,0,,,430164.66,5893444.32,760,76,,100,1,Ei
319,1124,124,Fagus sylvatica,0,,0,,,430097.78,5893424.69,250,25,,100,2,Bu
320,2116,116,Alnus glutinosa,0,,0,,,430151.24,5893446.94,540,54,,100,1,Er
