,ID_plot,Im_Zaun,Plotnummer,Flaeche
15254,88Ste,F,88,Stegelitz
14615,89Ste,F,89,Stegelitz
14616,90Ste,F,90,Stegelitz
5688,1Wei,T,1,Weisweil
6761,2Wei,T,2,Weisweil
5301,3Wei,T,3,Weisweil
5692,4Wei,T,4,Weisweil
5804,5Wei,T,5,Weisweil
5805,6Wei,T,6,Weisweil
5885,7Wei,T,7,Weisweil
5319,8Wei,T,8,Weisweil
6857,9Wei,T,9,Weisweil
6912,10Wei,T,10,Weisweil
7014,11Wei,T,11,Weisweil
7108,12Wei,T,12,Weisweil
6183,13Wei,T,13,Weisweil
5380,14Wei,T,14,Weisweil
5897,15Wei,T,15,Weisweil
7861,16Wei,T,16,Weisweil
7862,17Wei,T,17,Weisweil
5993,18Wei,T,18,Weisweil
5499,19Wei,T,19,Weisweil
6287,20Wei,T,20,Weisweil
7374,21Wei,T,21,Weisweil
6473,22Wei,T,22,Weisweil
6543,23Wei,T,23,Weisweil
7560,24Wei,T,24,Weisweil
7436,25Wei,T,25,Weisweil
7296,26Wei,T,26,Weisweil
5515,27Wei,T,27,Weisweil
6084,28Wei,T,28,Weisweil
7863,29Wei,T,29,Weisweil
7199,30Wei,T,30,Weisweil
6105,31Wei,T,31,Weisweil
5606,32Wei,T,32,Weisweil
7642,33Wei,T,33,Weisweil
6613,34Wei,T,34,Weisweil
6602,35Wei,T,35,Weisweil
6572,36Wei,T,36,Weisweil
